"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","652","04 - GET the created book by ID - verify the created book is persisted in the database","Bookstore API Test Suite","Sat Oct 18 16:14:15 UTC 2025","failed","Sat Oct 18 16:14:16 UTC 2025","com.bookstore.tests.BookTests","Books API Tests","com.bookstore.tests.BookTests","test_04_GetCreatedBookById_ShouldReturnCreatedBook"
"","629","09 - PUT update non-existent book - verify 404 is returned","Bookstore API Test Suite","Sat Oct 18 16:14:19 UTC 2025","failed","Sat Oct 18 16:14:19 UTC 2025","com.bookstore.tests.BookTests","Books API Tests","com.bookstore.tests.BookTests","test_09_UpdateNonExistentBook_ShouldReturn404"
"","612","07 - DELETE book - verify status 200","Bookstore API Test Suite","Sat Oct 18 16:14:17 UTC 2025","passed","Sat Oct 18 16:14:18 UTC 2025","com.bookstore.tests.BookTests","Books API Tests","com.bookstore.tests.BookTests","test_07_DeleteBook_ShouldReturnStatus200"
"","640","08 - GET the deleted book by ID - verify delete operation is persisted in the database","Bookstore API Test Suite","Sat Oct 18 16:14:18 UTC 2025","failed","Sat Oct 18 16:14:19 UTC 2025","com.bookstore.tests.BookTests","Books API Tests","com.bookstore.tests.BookTests","test_08_VerifyBookDeleted"
"","666","06 - GET the updated book by ID - verify the updated book is persisted in the database","Bookstore API Test Suite","Sat Oct 18 16:14:17 UTC 2025","failed","Sat Oct 18 16:14:17 UTC 2025","com.bookstore.tests.BookTests","Books API Tests","com.bookstore.tests.BookTests","test_06_GetUpdatedBookById_ShouldReturnUpdatedBook"
"","3939","01 - GET all books - verify status 200 and validates the JSON schema","Bookstore API Test Suite","Sat Oct 18 16:14:10 UTC 2025","passed","Sat Oct 18 16:14:13 UTC 2025","com.bookstore.tests.BookTests","Books API Tests","com.bookstore.tests.BookTests","test_01_GetAllBooks_ShouldReturnAllBooks"
"","687","05 - PUT update book - verify the book is updated successfully","Bookstore API Test Suite","Sat Oct 18 16:14:16 UTC 2025","passed","Sat Oct 18 16:14:17 UTC 2025","com.bookstore.tests.BookTests","Books API Tests","com.bookstore.tests.BookTests","test_05_UpdateBook_ShouldUpdateBook"
"","924","02 - GET book by ID - verify the book is retrieved successfully and validates the JSON schema","Bookstore API Test Suite","Sat Oct 18 16:14:14 UTC 2025","passed","Sat Oct 18 16:14:14 UTC 2025","com.bookstore.tests.BookTests","Books API Tests","com.bookstore.tests.BookTests","test_02_GetBookById_ShouldReturnBook"
"","625","POST book with existing ID - verify 409 conflict or 400 bad request is returned","Bookstore API Test Suite","Sat Oct 18 16:14:20 UTC 2025","failed","Sat Oct 18 16:14:20 UTC 2025","com.bookstore.tests.BookTests","Books API Tests","com.bookstore.tests.BookTests","test_11_CreateBookWithExistingId_ShouldReturnError"
"","609","DELETE non-existent book - verify 404 is returned","Bookstore API Test Suite","Sat Oct 18 16:14:19 UTC 2025","failed","Sat Oct 18 16:14:20 UTC 2025","com.bookstore.tests.BookTests","Books API Tests","com.bookstore.tests.BookTests","test_10_DeleteNonExistentBook_ShouldReturn404"
"","823","03 - POST new book - verify the book is created successfully","Bookstore API Test Suite","Sat Oct 18 16:14:14 UTC 2025","passed","Sat Oct 18 16:14:15 UTC 2025","com.bookstore.tests.BookTests","Books API Tests","com.bookstore.tests.BookTests","test_03_CreateBook_ShouldCreateBook"
